ECMAScript;brics
"";"@@"
"#([0-9a-fA-F]{3,4})|([0-9a-fA-F]{6}([0-9a-fA-F]{2})?)";"@(\\#[0-9a-fA-F]{3,4}|[0-9a-fA-F]{6}([0-9a-fA-F]{2})?)@"
"$ref";"#"
"&lt;[^&]*&gt;";"@\\&lt;[^&]*\\&gt;@"
"($^)|(^[0-9*#]$)";"[0-9*#]?"
"((.+?)\/(.+?)\/(.+?)+)";"@.+/.+/(.+)+@"
"((?:x[0-9a-f]{2})+)";"@(x[0-9a-f]{2})+@"
"((\\d+)\\.)?(\\d\\d):(60|([0-5][0-9])):(60|([0-5][0-9]))";"@([0-9]+\\.)?[0-9][0-9]:(60|[0-5][0-9]):(60|[0-5][0-9])@"
"(.*)";"@.*@"
"(.+):(.+)";"@.+:.+@"
"(.+\/)?.+:.+";"@(.+/)?.+:.+@"
"(0|[1-9][0-9]*)\\.(0|[1-9][0-9]*)\\.(0|[1-9][0-9]*)(-(0|[1-9][0-9]*|[0-9]*[a-zA-Z-][0-9a-zA-Z-]*)(\\.(0|[1-9][0-9]*|[0-9]*[a-zA-Z-][0-9a-zA-Z-]*))*)?(\\+[0-9a-zA-Z-]+(\\.[0-9a-zA-Z-]+)*)?";"@(0|[1-9][0-9]*)\\.(0|[1-9][0-9]*)\\.(0|[1-9][0-9]*)(-(0|[1-9][0-9]*|[0-9]*[a-zA-Z\\-][0-9a-zA-Z\\-]*)(\\.(0|[1-9][0-9]*|[0-9]*[a-zA-Z\\-][0-9a-zA-Z\\-]*))*)?(\\+[0-9a-zA-Z\\-]+(\\.[0-9a-zA-Z\\-]+)*)?@"
"(10\\.\\d+(\\.\\d+)?\/.+)|(\\w+\\:\\d+\\\/\\d+)";"@(10\\.[0-9]+(\\.[0-9]+)?/.+|[0-9A-Za-z_]+:[0-9]+/[0-9]+)@"
"(?:(?:\\.[^,\\s]|[^,\\.\\s\\*])[^,\\s]*)(?:,\\s*(?:\\.[^,\\s]|[^,\\.\\s\\*])[^,\\s]*)*";"@(\\.[^,\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF]|[^,.\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF*])[^,\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF]*(,[\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF]*(\\.[^,\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF]|[^,.\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF*])[^,\n\t\u000B\f\r \u0085\u00A0\u1680\u180E\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200A\u200B\u200C\u200D\u2028\u2029\u202F\u205F\u2060\u3000\uFEFF]*)*@"
"(?:\\d{1,3}\\.){2}[\\w\\-]{1,15}";"@([0-9]{1,3}\\.){2}[0-9A-Za-z_\\-]{1,15}@"
"(LATEX|MATHML|MATH_TEMPLATE|MVAR_TEMPLATE|LATEXII|LATEXCE)";"@(LATEX|MATHML|MATH_TEMPLATE|MVAR_TEMPLATE|LATEXII|LATEXCE)@"
"(Mr.|Mrs.)?[A-Za-z ]+";"@(Mr.|Mrs.)?[A-Za-z ]+@"
"(PMC)[1-9][0-9]{0,8}";"@PMC[1-9][0-9]{0,8}@"
"(PMID:)?[1-9][0-9]{0,8}";"@(PMID:)?[1-9][0-9]{0,8}@"
"([0-9]+)";"@[0-9]+@"
"([0-9]+|\\*)";"@([0-9]+|\\*)@"
"([0-9]{1,4}[A-Z]{1})?";"@([0-9]{1,4}[A-Z])?@"
"([0-9]{4})\\-([0-9]{2})\\-([0-9]{2})T([0-9]{2}):([0-9]{2}):([0-9]{2})[+-]([0-9]{2}):([0-9]{2})";"@[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9]{2}:[0-9]{2}:[0-9]{2}[+\\-][0-9]{2}:[0-9]{2}@"
"([0-9]{8})?";"@([0-9]{8})?@"
"([0-9a-fA-F][0-9a-fA-F](:|-)){4}([0-9a-fA-F][0-9a-fA-F])";"@([0-9a-fA-F][0-9a-fA-F](:|-)){4}[0-9a-fA-F][0-9a-fA-F]@"
"([0-9a-zA-Z]+)?";"@([0-9a-zA-Z]+)?@"
"([0-9a-zA-Z]{1,3})?";"@([0-9a-zA-Z]{1,3})?@"
"([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9](\\.[0-9]+)?";"@([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9](\\.[0-9]+)?@"
"([A-Z0-9]+)?";"@([A-Z0-9]+)?@"
"([A-Z0-9]{4})?";"@([A-Z0-9]{4})?@"
"([A-Z])?";"@[A-Z]?@"
"([A-Z]+)?";"@([A-Z]+)?@"
"([A-Z]{2})";"@[A-Z]{2}@"
"([A-Z]{3})?";"@([A-Z]{3})?@"
"([A-Z]|[a-z])";"@([A-Z]|[a-z])@"
"([A-Za-z][A-Za-z0-9+\\-.]*):(?:(\/\/)(?:((?:[A-Za-z0-9\\-._~!$&'()*+,;=:]|%[0-9A-Fa-f]{2})*)@)?((?:\\[(?:(?:(?:(?:[0-9A-Fa-f]{1,4}:){6}|::(?:[0-9A-Fa-f]{1,4}:){5}|(?:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){4}|(?:(?:[0-9A-Fa-f]{1,4}:){0,1}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){3}|(?:(?:[0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){2}|(?:(?:[0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}:|(?:(?:[0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})?::)(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))|(?:(?:[0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}|(?:(?:[0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})?::)|[Vv][0-9A-Fa-f]+\\.[A-Za-z0-9\\-._~!$&'()*+,;=:]+)\\]|(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)|(?:[A-Za-z0-9\\-._~!$&'()*+,;=]|%[0-9A-Fa-f]{2})*))(?::([0-9]*))?((?:\/(?:[A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*)|\/((?:(?:[A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})+(?:\/(?:[A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*)?)|((?:[A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})+(?:\/(?:[A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*)|)(?:\\?((?:[A-Za-z0-9\\-._~!$&'()*+,;=:@\/?]|%[0-9A-Fa-f]{2})*))?(?:\\#((?:[A-Za-z0-9\\-._~!$&'()*+,;=:@\/?]|%[0-9A-Fa-f]{2})*))?";"@[A-Za-z][A-Za-z0-9+\\-.]*:(//(([A-Za-z0-9\\-._~!$&'()*+,;=:]|%[0-9A-Fa-f]{2})*\\@)?(\\[((([0-9A-Fa-f]{1,4}:){6}|::([0-9A-Fa-f]{1,4}:){5}|([0-9A-Fa-f]{1,4})?::([0-9A-Fa-f]{1,4}:){4}|(([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})?::([0-9A-Fa-f]{1,4}:){3}|(([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})?::([0-9A-Fa-f]{1,4}:){2}|(([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}:|(([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})?::)([0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.){3}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))|(([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}|(([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})?::|[Vv][0-9A-Fa-f]+\\.[A-Za-z0-9\\-._~!$&'()*+,;=:]+)]|((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.){3}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)|([A-Za-z0-9\\-._~!$&'()*+,;=]|%[0-9A-Fa-f]{2})*)(:[0-9]*)?(/([A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*|/(([A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})+(/([A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*)?|([A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})+(/([A-Za-z0-9\\-._~!$&'()*+,;=:@]|%[0-9A-Fa-f]{2})*)*)?(\\?([A-Za-z0-9\\-._~!$&'()*+,;=:@/?]|%[0-9A-Fa-f]{2})*)?(\\#([A-Za-z0-9\\-._~!$&'()*+,;=:@/?]|%[0-9A-Fa-f]{2})*)?@"
"([\\w\\-]+)";"@[0-9A-Za-z_\\-]+@"
"([^\/]+)";"@[^/]+@"
"([a-zA-Z0-9]{2})?";"@([a-zA-Z0-9]{2})?@"
"([a-zA-Z]+)?";"@([a-zA-Z]+)?@"
"([a-zA-Z]{2})?";"@([a-zA-Z]{2})?@"
"([a-zA-Z]{3})?";"@([a-zA-Z]{3})?@"
"(\\$)";"@$@"
"(\\\\?([^\\\/]*[\\\/])*)([^\\\/]+)$";"@\\\\?([^/]*[/])*[^/]+"
"(\\d+(mm|cm|m|km|in|yd|ft|mi|nmi))@([\\-\\+]?\\d+(\\.\\d+)?),([\\-\\+]?\\d+(\\.\\d+)?)";"@[0-9]+(mm|cm|m|km|in|yd|ft|mi|nmi)\\@[\\-+]?[0-9]+(\\.[0-9]+)?,[\\-+]?[0-9]+(\\.[0-9]+)?@"
"(\\w+)";"@[0-9A-Za-z_]+@"
"(\\w+\\.)+\\d+";"@([0-9A-Za-z_]+\\.)+[0-9]+@"
"(\\w{2})";"@[0-9A-Za-z_]{2}@"
